"","Tweet","Date","Isretweet","Retweets","Score","Product","City","Country","duplicate"
"92","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 17:31:02",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"93","RT @sakitechonline: In appreciation of getting my 1000000 subscriber Youtube play button I am giving away a Samsung Galaxy Buds Live in","2021-06-05 17:23:33",TRUE,2219,0,Samsung Galaxy,NYC,USA,FALSE
"94","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 17:07:18",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"95","Samsung Galaxy Note 9 battery replacement charging port replacement and back replacement for a customer from Hanove /gfDuEhZHQb","2021-06-05 17:06:09",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"96","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 16:50:09",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"97","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 16:45:49",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"98","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 16:22:52",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"99","@xolaurajeanxo LMAO it's true! I have the Samsung Galaxy bud pros that block out sounds and I only hear him shouting ","2021-06-05 15:18:12",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"100","Has anyone ever traded in your Galaxy because Samsung was giving me $350 off a new phone and now I'm not sure how t /dbLachQjIe","2021-06-05 15:14:42",FALSE,0,0,Samsung Galaxy,NYC,USA,FALSE
"101","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 15:07:17",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"102","RT @iotcybersec24:  $194.00  Samsung Galaxy Watch GPS Bluetooth w 42mm Black Case Black Rubber Band @iotcybersec24   Samsung Galaxy Wa","2021-06-05 14:27:27",TRUE,1,0,Samsung Galaxy,NYC,USA,FALSE
"103"," $194.00  Samsung Galaxy Watch GPS Bluetooth w 42mm Black Case Black Rubber Band @iotcybersec24   Samsung /TUdonrAcuv","2021-06-05 14:26:36",FALSE,1,0,Samsung Galaxy,NYC,USA,FALSE
"104","Walmart gives 740000 employees a free Smartphone -The Samsung Galaxy XCover Pro -The primary purpose for the phon /juSGaTQuwl","2021-06-05 13:56:01",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"105","RT @iotcybersec24:  $149.00  Samsung Galaxy Active 2 Smartwatch 44mm with Extra Charging Cable Black  SMR820NZKCXAR @iotcybersec24   Sam","2021-06-05 13:38:18",TRUE,2,0,Samsung Galaxy,NYC,USA,FALSE
"106","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 13:34:51",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"107","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 13:25:36",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"108","RT @iotcybersec24:  $149.00  Samsung Galaxy Active 2 Smartwatch 44mm with Extra Charging Cable Black  SMR820NZKCXAR @iotcybersec24   Sam","2021-06-05 13:23:31",TRUE,2,0,Samsung Galaxy,NYC,USA,TRUE
"109"," $149.00  Samsung Galaxy Active 2 Smartwatch 44mm with Extra Charging Cable Black  SMR820NZKCXAR @iotcybersec24 /WBztGJaaca","2021-06-05 13:19:20",FALSE,2,0,Samsung Galaxy,NYC,USA,FALSE
"110","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 12:53:11",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"111","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 12:51:20",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"112","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 12:50:16",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"113","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 12:49:27",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"114","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 12:24:38",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"115","We're not sure if we prefer the olive green version or the lavender  but they all look good /Ysmafw8pWe","2021-06-05 12:16:22",FALSE,0,2,Samsung Galaxy,NYC,USA,FALSE
"116","@A4Los I don't recommend the first gen Samsung Galaxy buds because they get uncomfortable you're welcome","2021-06-05 11:39:55",FALSE,0,1,Samsung Galaxy,NYC,USA,FALSE
"117","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 11:22:11",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"118","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 10:43:03",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"119","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 10:04:33",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"120","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 10:01:06",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"121","RT @Gadget_Tendency: Samsungs giant top-end tablet will get a cutout almost like an iPhone. The first renders of the Galaxy Tab S8 Ultaa","2021-06-05 09:41:24",TRUE,1,1,Samsung Galaxy,NYC,USA,FALSE
"122","Samsungs giant top-end tablet will get a cutout almost like an iPhone. The first renders of the Galaxy Tab S8 Ult /M8Ixg8dhrQ","2021-06-05 09:38:48",FALSE,1,1,Samsung Galaxy,NYC,USA,FALSE
"123","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 09:34:40",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"124","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 08:50:59",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"125","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 08:21:36",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"126","RT @evleaks: Samsung Galaxy S21 FE (from 3D objects) - /VQmPpCp0UC","2021-06-05 08:20:04",TRUE,105,0,Samsung Galaxy,NYC,USA,TRUE
"127","RT @cuongcz: ai ml artificialintelligence machinelearning datascience bigdata analytics blockchain tech data @Nicochan33 @TrippBr","2021-06-05 08:19:26",TRUE,3,0,Samsung Galaxy,NYC,USA,TRUE
