"","tweet","date","isretweet","retweets","score","product","city","country","duplicated"
"84",RT @scpwords: Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart pixel indiev,2021-06-06 15-45-09,TRUE,7,1,Apple iPhone,LA,USA,TRUE
"85",Get Retro Knight for iPhone/Android today! NOW FREE! The game is HUGE! indiegame gamedev indiedev pixelart /xtK8bGqFiM,2021-06-06 15-33-26,FALSE,7,1,Apple iPhone,LA,USA,FALSE
"86",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 14-53-41,TRUE,1,0,Apple iPhone,LA,USA,TRUE
"87",DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames /Mh2P8bzsV9,2021-06-06 14-53-21,FALSE,1,0,Apple iPhone,LA,USA,FALSE
"88",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 14-40-59,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"89",RT @scpwords: GORPEE KONG! Some classic platforming hilarity on Anarchy Island! indiegame gamedev indiedev retro indievideogames ios,2021-06-06 14-33-21,TRUE,2,0,Apple iPhone,LA,USA,TRUE
"90",GORPEE KONG! Some classic platforming hilarity on Anarchy Island! indiegame gamedev indiedev retro /3NlQWQeU0h,2021-06-06 14-33-19,FALSE,2,0,Apple iPhone,LA,USA,FALSE
"91",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 14-26-37,TRUE,6,0,Apple iPhone,LA,USA,TRUE
"92",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 14-25-26,TRUE,6,0,Apple iPhone,LA,USA,TRUE
"93",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 14-23-21,TRUE,6,0,Apple iPhone,LA,USA,TRUE
